CustomerID,PAGE_NAME,TIMESTAMP,AgeCategory_x,Gender_x,ComplaintTopicID
2025826,50plus,2015-10-05 10:12:56.880,50-65,M,59.0
1503890,aanvragen-tw,2015-09-01 19:35:06.707,50-65,V,20.0
2063574,50plus,2015-11-06 10:47:42.137,40-49,M,33.0
2185161,bijstandsuitkering,2016-01-11 18:44:07.877,18-29,V,32.0
2074173,frankrijk,2015-11-09 22:43:19.973,50-65,V,19.0
2140620,inschrijven,2015-11-02 11:39:37.567,30-39,V,16.0
2099262,inschrijven,2015-10-28 17:00:52.393,50-65,M,7.0
1626445,inschrijven,2015-08-27 21:03:34.143,30-39,V,67.0
2096614,aanvragen-tw,2016-01-19 10:44:52.140,50-65,V,2.0
912732,inschrijven,2015-12-21 09:33:11.770,50-65,M,41.0
1597964,inschrijven,2015-10-06 19:26:52.197,50-65,M,9.0
615235,gegevens,2016-01-10 19:33:28.140,30-39,V,67.0
2215699,inschrijven,2016-01-28 15:29:56.177,50-65,M,33.0
1374280,inschrijven,2015-11-01 22:21:34.910,30-39,V,9.0
2098736,50plus,2015-10-28 10:40:01.627,30-39,M,56.0
4283,bijstandsuitkering,2016-01-03 14:00:03.683,30-39,M,56.0
1050218,gegevens,2015-12-07 21:28:55.293,30-39,V,31.0
1681880,gegevens,2015-11-24 08:59:40.177,50-65,M,2.0
2064455,inschrijven,2015-09-06 17:26:39.103,40-49,V,32.0
1907668,aanvragen-tw,2015-12-15 20:07:18.933,40-49,M,20.0
2194098,gegevens,2016-02-08 08:12:44.677,50-65,V,9.0
1811251,gegevens,2016-01-07 21:06:19.147,50-65,V,5.0
2130425,gegevens,2015-12-03 00:11:08.450,50-65,M,9.0
2208023,inschrijven,2016-01-08 12:37:14.053,40-49,V,13.0
2185785,inschrijven,2015-12-18 17:59:12.873,30-39,V,57.0
704298,inschrijven,2015-11-26 11:35:40.130,50-65,M,9.0
1967413,50plus,2016-01-28 16:03:35.600,18-29,M,29.0
2108196,bijstandsuitkering,2016-02-17 22:52:39.870,50-65,V,44.0
